Transaction_date;Product;Price;Payment_Type;Name;City;State;Country;Account_Created;Last_Login;Latitude;Longitude
1/10/09 14:43;Product1;1200;Diners;Anupam;Kinsaley;Dublin;Ireland;1/9/09 11:38;1/10/09 14:37;534247222;-61758333
1/10/09 12:05;Product1;1200;Visa;Karina;Fort Lauderdale             ;FL;United States;7/1/08 12:53;1/10/09 16:33;2612194;-8014361
1/6/09 1:20;Product1;1200;Mastercard;Frank;Melbourne;Victoria;Australia;1/2/09 17:51;1/10/09 18:27;-378166667;1449666667
1/10/09 14:56;Product1;1200;Visa;Angela;Ankeny                      ;IA;United States;1/8/09 3:06;1/10/09 19:41;4172972;-9360556
1/7/09 10:01;Product1;1200;Visa;Darren;Pittsboro                   ;NC;United States;1/7/09 9:04;1/10/09 20:02;3572;-791775
1/1/09 1:26;Product1;1200;Mastercard;Nikki;New Rochelle                ;NY;United States;1/1/09 0:58;1/10/09 21:31;4091139;-7378278
1/11/09 2:04;Product1;1200;Visa;chris;Gold Coast;Queensland;Australia;1/11/09 0:33;1/11/09 2:11;-28;1534333333
1/11/09 14:17;Product1;1200;Visa;Stephanie;Brussels;Brussels (Bruxelles);Belgium;1/11/09 13:39;1/11/09 13:39;508333333;43333333
1/10/09 21:38;Product1;1200;Visa;Anushka;Maple Ridge District Municipality;British Columbia;Canada;1/10/09 21:17;1/11/09 19:32;4925;-1225
1/7/09 6:18;Product1;1200;Mastercard;June ;Beachwood                   ;OH;United States;2/23/06 11:56;1/11/09 19:35;4146444;-8150889
1/4/09 8:39;Product2;3600;Diners;Baybars;Prince Albert;Saskatchewan;Canada;1/3/09 17:17;1/11/09 21:05;532;-10575
1/5/09 0:31;Product1;1200;Mastercard;Bonnie;Saltsjobaden;Stockholm;Sweden;1/4/09 23:45;1/12/09 0:37;592833333;183
1/2/09 6:07;Product1;1200;Visa;Cindy ;Kemble;England;United Kingdom;12/30/08 10:21;1/12/09 2:24;516766667;-20180556
1/12/09 3:25;Product1;1200;Mastercard;chrissy;W Lebanon                   ;NH;United States;1/12/09 3:12;1/12/09 3:22;4364917;-7231083
1/4/09 13:56;Product1;1200;Mastercard;Tamar;Headley;England;United Kingdom;11/29/07 9:23;1/12/09 5:38;511166667;-8166667
1/7/09 0:12;Product2;3600;Mastercard;Deirdre;Lausanne;Vaud;Switzerland;12/1/08 6:25;1/12/09 6:55;465333333;66666667
1/12/09 5:18;Product1;1200;Mastercard;Bernadett;Southampton;England;United Kingdom;1/12/09 4:45;1/12/09 8:08;509;-14
1/8/09 15:16;Product1;1200;NaN;Dottie;Woodsboro                   ;MD;United States;1/8/09 14:56;1/12/09 9:29;3953306;-77315
1/11/09 11:33;Product1;1200;Visa;Stefan;Stavanger;Rogaland;Norway;1/11/09 9:02;1/12/09 10:37;589666667;575
1/7/09 20:22;Product1;1200;Visa;Gina;Red Deer;Alberta;Canada;11/23/08 19:30;1/12/09 12:24;522666667;-1138
1/2/09 22:00;Product1;1200;Diners;Lynne;Memphis                     ;TN;United States;1/2/09 21:04;1/12/09 13:18;3514944;-9004889
1/5/09 13:52;Product1;1200;Mastercard;Tammy;Morges;Vaud;Switzerland;1/5/09 5:55;1/12/09 14:04;465166667;65
1/8/09 20:32;Product1;1200;Visa;Kim;Calgary;Alberta;Canada;1/8/09 20:21;1/12/09 14:07;510833333;-1140833333
1/8/09 13:34;Product1;1200;Visa;Bruce;Belleville;Ontario;Canada;1/6/09 14:38;1/12/09 18:31;441666667;-773833333
1/11/09 13:08;Product1;1200;Visa;Rosa Maria;Cincinnati                  ;OH;United States;1/11/09 12:38;1/12/09 18:44;3916194;-8445694
1/12/09 19:04;Product1;1200;Visa;Lydia;Comox;British Columbia;Canada;9/20/08 20:53;1/12/09 19:01;496833333;-1249333333
1/12/09 13:41;Product1;1200;Visa;Eric;Gasperich;Luxembourg;Luxembourg;1/12/09 13:16;1/13/09 1:03;495855556;61230556
1/11/09 10:38;Product1;1200;Mastercard;AnaPaula;Helens Bay;Northern Ireland;United Kingdom;9/4/08 9:26;1/13/09 2:36;5465;-57333333
1/13/09 5:57;Product1;1200;Visa;Robin;Milan;Lombardy;Italy;10/15/08 5:31;1/13/09 5:55;454666667;92
1/13/09 6:13;Product1;1200;Visa;Gitte;Staten Island               ;NY;United States;1/13/09 5:17;1/13/09 7:33;4063667;-7415917
1/8/09 13:14;Product1;1200;Visa;Dr. Claudia;Oslo;Oslo;Norway;1/8/09 12:47;1/13/09 10:49;599166667;1075
1/2/09 11:41;Product1;1200;Visa;Crystal;Farmington;Michigan;United States;1/1/09 12:00;1/13/09 18:34;4246444;-8337639
1/7/09 19:50;Product1;1200;Diners;Delphine;Santa Monica                ;CA;United States;1/3/09 12:04;1/13/09 20:17;3401944;-11849028
1/1/09 20:28;Product1;1200;Visa;nathalie;Calgary;Alberta;Canada;1/1/09 20:11;1/13/09 21:11;510833333;-1140833333
1/3/09 15:22;Product1;1200;Mastercard;Lindi;Vancouver;British Columbia;Canada;2/20/08 22:45;1/13/09 23:02;4925;-1231333333
1/12/09 3:03;Product2;3600;Mastercard;Valda;Irvine                      ;CA;United States;1/12/09 2:48;1/14/09 1:07;3366944;-11782222
1/5/09 8:58;Product2;3600;NaN;Marcia;Telgte;Nordrhein-Westfalen;Germany;9/1/08 3:39;1/14/09 2:07;523333333;79
1/10/09 14:03;Product1;1200;Mastercard;Kevin;Cheltenham;England;United Kingdom;3/13/06 4:56;1/14/09 2:22;519;-20833333
1/13/09 11:26;Product1;1200;Visa;Clare;Keller                      ;VA;United States;1/13/09 11:15;1/14/09 2:39;3761917;-7576417
1/2/09 12:18;Product1;1200;Visa;Alice;Nakskov;Storstrom;Denmark;12/5/07 11:37;1/14/09 4:05;548333333;1115
1/14/09 4:54;Product1;1200;Mastercard;ZENA;Honolulu                    ;HI;United States;1/14/09 4:34;1/14/09 4:43;2130694;-15785833
1/6/09 17:15;Product1;1200;Visa;Andrea;Bubuieci;Chisinau;Moldova;12/24/08 17:31;1/14/09 10:27;46985;289425
1/3/09 13:56;Product1;1200;Visa;Rennae;Amelia Island               ;FL;United States;1/3/09 12:30;1/14/09 13:03;3066944;-8146278
1/4/09 7:54;Product1;1200;Visa;Gerhard;Alliston;Ontario;Canada;10/21/05 21:49;1/14/09 13:06;4415;-798666667
1/12/09 7:28;Product1;1200;Amex;Megan;La Alberca;Murcia;Spain;12/10/08 16:41;1/14/09 13:44;379333333;-11333333
1/6/09 15:15;Product1;1200;Mastercard;Danielle;Rathgar;Dublin;Ireland;1/6/09 14:59;1/14/09 14:33;533122222;-62683333
1/13/09 23:56;Product1;1200;Mastercard;Tod;Coral Gables                ;FL;United States;1/13/09 23:13;1/14/09 15:17;2572111;-8026861
1/14/09 19:32;Product1;1200;Visa;Janaina;Miami                       ;FL;United States;12/16/08 22:19;1/14/09 19:28;2577389;-8019389
1/6/09 21:13;Product1;1200;Visa;Kofi;Vancouver;British Columbia;Canada;1/7/08 21:16;1/14/09 20:50;4925;-1231333333
1/14/09 11:19;Product1;1200;Visa;Jennifer;Jumeira;Dubayy;United Arab Emirates;1/14/09 10:44;1/14/09 21:26;252097222;552477778
1/13/09 19:39;Product1;1200;Visa;Jolene ;Englewood                   ;CO;United States;1/6/09 22:00;1/14/09 22:02;3964778;-10498722
1/8/09 7:26;Product1;1200;Mastercard;anne;Bournemouth;England;United Kingdom;1/25/08 15:46;1/15/09 1:36;507166667;-18833333
1/15/09 2:40;Product1;1200;Mastercard;Alexis;Genoa                       ;IL;United States;1/15/09 2:04;1/15/09 2:04;4209722;-8869278
1/12/09 6:40;Product1;1200;Visa;Dez;Al 'Adliyah;Al Manamah;Bahrain;1/10/09 12:50;1/15/09 4:46;262172222;505405556
1/15/09 3:43;Product1;1200;Visa;Stephanie;Rouen;Upper Normandy;France;12/26/08 9:01;1/15/09 5:39;494333333;10833333
1/5/09 15:39;Product1;1200;Visa;Melissa ;Parkland                    ;FL;United States;12/10/08 9:14;1/15/09 6:01;2630972;-802375
1/10/09 5:21;Product1;1200;Amex;CLARE;San Francisco               ;CA;United States;1/10/09 0:07;1/15/09 6:25;37775;-12241833
1/15/09 4:12;Product1;1200;Mastercard;catherine;Keller                      ;VA;United States;1/15/09 4:02;1/15/09 6:59;3761917;-7576417
1/12/09 11:48;Product1;1200;Visa;Veronique ;Tsawwassen;British Columbia;Canada;7/24/08 15:48;1/15/09 8:56;490166667;-1230833333
1/6/09 10:48;Product1;1200;Mastercard;Bruce and Camille;Clinton                     ;NJ;United States;8/21/07 21:19;1/15/09 9:32;4063667;-7491028
1/14/09 9:10;Product1;1200;Mastercard;Ellen;Owensboro                   ;KY;United States;1/14/09 8:25;1/15/09 9:40;3777417;-8711333
1/14/09 22:44;Product1;1200;Visa;Amy;Lakewood Village            ;TX;United States;1/14/09 22:21;1/15/09 9:50;331425;-9696917
1/6/09 7:23;Product1;1200;Visa;Anna;Okotoks;Alberta;Canada;7/21/08 12:03;1/15/09 10:00;507166667;-1139666667
1/1/09 5:04;Product1;1200;Mastercard;Regina;Glimmen;Groningen;Netherlands;12/16/02 4:09;1/15/09 10:50;531333333;66333333
1/15/09 11:56;Product1;1200;Visa;Heidi;Calgary;Alberta;Canada;1/14/09 9:16;1/15/09 11:39;510833333;-1140833333
1/15/09 11:58;Product1;1200;Visa;Jessica;Kanata;Ontario;Canada;1/14/09 5:59;1/15/09 11:49;453333333;-759
1/12/09 9:43;Product1;1200;Diners;Petra;Bergen;Nordrhein-Westfalen;Germany;1/7/09 8:39;1/15/09 12:14;517166667;65
1/15/09 12:33;Product1;1200;Visa;Brian;College Park                ;MD;United States;1/15/09 12:19;1/15/09 13:28;3898056;-7693722
1/14/09 11:35;Product1;1200;Visa;Kenny;Kailua Kona                 ;HI;United States;1/13/09 17:42;1/15/09 15:31;197349;-1559003
1/14/09 15:40;Product1;1200;Amex;ayse;Redondo Beach               ;CA;United States;1/13/09 19:37;1/15/09 15:45;3384917;-1183875
1/3/09 11:08;Product1;1200;Amex;Maria and Timothy;Fountain Hls                ;AZ;United States;6/5/06 22:42;1/15/09 16:37;3361167;-11171667
1/12/09 1:37;Product1;1200;Visa;IMAN;Brisbane;Queensland;Australia;1/12/09 1:26;1/15/09 17:54;-275;1530166667
1/16/09 7:21;Product1;2100;Mastercard;Gerald;Mahopac                     ;NY;United States;11/3/08 14:28;1/16/09 6:08;4137222;-7373389
1/15/09 12:54;Product1;1200;Mastercard;Annelies;Ile-Perrot;Quebec;Canada;1/15/09 12:22;1/16/09 7:53;454;-739333333
1/7/09 7:19;Product1;1200;Amex;Jocelyn;Bruxelles;Brussels (Bruxelles);Belgium;6/30/08 9:33;1/16/09 8:54;508333333;43333333
1/3/09 9:56;Product1;1200;Visa;Kara;Chicago                     ;IL;United States;12/31/08 16:26;1/16/09 13:43;4185;-8765
1/16/09 17:41;Product1;1200;Visa;Orsi;Rayford                     ;TX;United States;1/16/09 17:01;1/16/09 17:56;3007972;-9541694
1/5/09 5:33;Product1;1200;Visa;Ben;Escondido                   ;CA;United States;1/5/09 3:19;1/17/09 0:35;3311917;-11708556
1/2/09 0:50;Product1;1200;Visa;Sam;Tesvikiye;Istanbul;Turkey;1/2/09 0:10;1/17/09 1:57;406166667;290666667
1/13/09 1:51;Product1;1200;Visa;Filip and Teresa;Centurion;Gauteng;South Africa;1/12/09 1:40;1/17/09 2:23;-258744444;281705556
1/15/09 10:24;Product1;1200;Visa;Grace ;York;England;United Kingdom;1/13/09 12:30;1/17/09 4:42;539666667;-10833333
1/11/09 8:59;Product1;1200;Visa;Chelsey ;Ashburn                     ;VA;United States;11/9/08 5:53;1/17/09 8:54;3904361;-7748778
1/15/09 15:56;Product1;1200;Amex;Charis;Los Angeles                 ;CA;United States;11/11/05 11:49;1/17/09 10:54;3405222;-11824278
1/1/09 12:19;Product1;1200;Visa;Marlene;Edgewood                    ;WA;United States;1/16/06 14:45;1/17/09 11:38;4725028;-1222925
1/6/09 14:03;Product1;1200;Visa;Fie;New York                    ;NY;United States;5/1/08 8:26;1/17/09 11:44;4071417;-7400639
1/9/09 15:32;Product1;1200;Diners;Nicole ;Basingstoke;England;United Kingdom;1/7/09 12:31;1/17/09 12:03;512666667;-10833333
1/17/09 12:59;Product1;1200;Diners;Linda;Den Haag;Zuid-Holland;Netherlands;10/29/08 13:09;1/17/09 13:07;520833333;43
1/12/09 12:37;Product1;1200;Visa;Janet;Marietta                    ;GA;United States;9/13/07 14:20;1/17/09 16:17;339525;-8455
1/4/09 7:43;Product1;1200;Mastercard;Jamie;Houston                     ;TX;United States;1/4/09 6:51;1/17/09 17:31;2976306;-9536306
1/17/09 16:22;Product1;1200;Visa;Chad;West Orange                 ;NJ;United States;1/17/09 15:22;1/17/09 18:42;4079861;-7423944
1/1/09 3:51;Product1;1200;Mastercard;sunny;Amsterdam;Noord-Holland;Netherlands;9/14/05 22:53;1/17/09 22:34;5235;49166667
1/18/09 5:27;Product1;1200;Visa;Anna;Downey                      ;CA;United States;1/18/09 4:28;1/18/09 4:42;3394;-11813167
1/18/09 5:15;Product1;1200;Diners;Roger;Urlingford;Kilkenny;Ireland;1/18/09 4:44;1/18/09 4:44;527205556;-75825
1/1/09 1:51;Product1;1200;Mastercard;Si;Holte;Kobenhavn;Denmark;12/14/05 15:46;1/18/09 4:44;558166667;124666667
1/18/09 6:30;Product1;1200;Visa;Sherri;Freienbach;Schwyz;Switzerland;6/22/08 14:10;1/18/09 6:21;472;875
1/11/09 10:51;Product1;1200;Mastercard;Katherine;Hofheim am Taunus;Hessen;Germany;12/6/08 1:34;1/18/09 7:17;500833333;845
1/4/09 17:02;Product1;1200;Mastercard;Clare;Lafayette                   ;CA;United States;12/31/05 0:55;1/18/09 8:43;3788583;-12211694
1/17/09 1:23;Product1;1200;Amex;Campbell;Mushrif;;Kuwait;1/16/09 14:26;1/18/09 9:08;292891667;4805
1/18/09 2:16;Product1;1200;Visa;Ruth;Nashville                   ;AR;United States;1/16/09 19:32;1/18/09 9:13;3394556;-9384694
1/18/09 11:34;Product2;3600;Visa;Cheryl;New Malden;England;United Kingdom;10/28/05 14:57;1/18/09 10:27;514166667;-25
1/18/09 4:38;Product1;1200;Visa;Doug;Bishop Auckland;England;United Kingdom;12/28/07 13:39;1/18/09 11:58;5465;-16666667
1/18/09 13:26;Product3;7500;Mastercard;Julianne;Navan;Meath;Ireland;1/18/09 12:20;1/18/09 12:20;536527778;-66813889
1/18/09 11:53;Product1;1200;Visa;Shailesh;Joppa;MD;United States;1/18/09 0:00;1/18/09 12:23;3943361;-7635806
1/18/09 12:04;Product1;1200;Visa;Conrad;Joppa;MD;United States;1/18/09 0:00;1/18/09 12:23;3943361;-7635806
1/13/09 19:54;Product1;1200;Diners;Alison;Hampton                     ;NJ;United States;1/3/06 6:09;1/18/09 12:51;4070694;-7495639
1/5/09 21:06;Product1;1200;Mastercard;Tracy;Louisville                  ;KY;United States;1/5/09 16:27;1/18/09 13:58;3825417;-8575944
1/14/09 6:32;Product1;1200;Visa;Kate;Broadlands                  ;VA;United States;4/12/06 6:14;1/18/09 14:04;3904361;-7748778
1/4/09 23:48;Product1;1200;Diners;Sarka;Yellowknife;Northwest Territories;Canada;1/4/09 22:41;1/18/09 16:17;6245;-11435
1/18/09 16:32;Product2;3600;Visa;Therese;Los Angeles                 ;CA;United States;1/18/09 16:23;1/18/09 16:54;3405222;-11824278
1/18/09 17:04;Product2;3600;Visa;Abdul-L;New York                    ;NY;United States;1/18/09 16:58;1/18/09 16:58;4071417;-7400639
1/18/09 17:20;Product2;3600;Visa;heidi;Saint Paul                  ;MN;United States;1/18/09 17:16;1/18/09 17:16;4494444;-9309306
1/18/09 17:39;Product2;3600;Visa;jiyoung;New York                    ;NY;United States;1/18/09 17:34;1/18/09 17:34;4071417;-7400639
1/11/09 11:20;Product1;1200;Visa;Klara;Spring Lake Park            ;MN;United States;12/31/08 19:48;1/18/09 17:43;4510778;-9323778
1/13/09 20:59;Product1;1200;Mastercard;Andrew;Winnipeg;Manitoba;Canada;1/13/09 16:44;1/18/09 19:17;498833333;-971666667
1/12/09 16:50;Product1;1200;Visa;Vicki and Bill;Seattle                     ;WA;United States;1/4/09 21:33;1/19/09 1:22;4760639;-12233083
1/12/09 15:12;Product1;1200;Mastercard;David;Deptford                    ;NJ;United States;1/12/09 14:07;1/19/09 3:47;3983806;-7515306
1/6/09 12:27;Product1;1200;Mastercard;Antonella;Amsterdam;Noord-Holland;Netherlands;1/6/09 12:04;1/19/09 4:59;5235;49166667
1/9/09 18:52;Product1;1200;Visa;David;Alpharetta                  ;GA;United States;11/25/08 7:56;1/19/09 6:12;3407528;-8429417
1/18/09 23:17;Product1;1200;Visa;Greg;Washington                  ;DC;United States;1/18/09 15:18;1/19/09 6:13;38895;-7703667
1/7/09 8:21;Product1;1200;Visa;Jannik ;Holmenkollen;Oslo;Norway;1/3/09 11:06;1/19/09 6:54;599666667;106666667
1/3/09 9:54;Product1;1200;Visa;Sylvia;Zekeriyakoy;Istanbul;Turkey;12/29/08 10:38;1/19/09 7:37;411980556;290302778
1/5/09 19:37;Product1;1200;Amex;Bernadette;Washington                  ;DC;United States;11/7/07 9:49;1/19/09 7:42;38895;-7703667
1/4/09 12:49;Product1;1200;Diners;Denise;Montreal;Quebec;Canada;5/25/07 10:58;1/19/09 7:58;455;-735833333
1/8/09 11:55;Product2;3600;Visa;Caren;Braunschweig;Lower Saxony;Germany;1/3/09 12:39;1/19/09 8:31;522666667;105333333
1/14/09 18:21;Product1;1200;Visa;luciana;Athens                      ;GA;United States;9/25/05 6:25;1/19/09 11:21;3396083;-8337806
1/11/09 19:01;Product1;1200;Diners;Maja;Hoschton                    ;GA;United States;1/11/09 18:17;1/19/09 12:47;3409639;-8376139
1/14/09 5:20;Product2;3600;Visa;Kristen;Binningen;Basel-Country;Switzerland;1/12/09 13:31;1/19/09 13:07;475333333;75666667
1/15/09 8:07;Product1;1200;Visa;Kirstie;Royal Oak                   ;MI;United States;12/13/08 19:35;1/19/09 14:59;4248944;-8314472
1/15/09 8:10;Product1;1200;Visa;Scott ;Royal Oak                   ;MI;United States;12/13/08 19:35;1/19/09 14:59;4248944;-8314472
1/2/09 17:45;Product1;1200;Mastercard;Jammie;Belmont                     ;MA;United States;12/9/05 17:19;1/19/09 15:36;4239583;-7117917
1/19/09 16:10;Product1;1200;Mastercard;Frank;Old Greenwich               ;CT;United States;1/19/09 15:31;1/19/09 16:00;4102278;-7356528
1/19/09 16:55;Product1;1200;Mastercard;scott;Coconut Grove               ;FL;United States;1/19/09 16:18;1/19/09 16:18;2571222;-8025722
1/10/09 17:41;Product1;1200;Visa;Jiri;Vienna                      ;VA;United States;1/10/09 16:32;1/19/09 17:52;3890111;-7726556
1/18/09 13:49;Product2;3600;Visa;Bev;San Ramon                   ;CA;United States;1/11/09 12:00;1/19/09 18:07;3778;-12197694
1/15/09 5:47;Product1;1200;Visa;Dave and Amy;Norfolk                     ;VA;United States;1/15/09 0:21;1/19/09 22:48;3684667;-7628556
1/19/09 23:06;Product1;1200;Mastercard;Rebecca;Norfolk                     ;VA;United States;1/19/09 22:53;1/19/09 22:53;3684667;-7628556
1/19/09 11:12;Product1;1200;Visa;Melissa;Aberdeen;Scotland;United Kingdom;8/27/08 8:22;1/20/09 0:35;571333333;-21
1/4/09 1:38;Product1;1200;Amex;jeremy;Charlestown;New South Wales;Australia;7/15/08 21:04;1/20/09 1:08;-3295;1516666667
1/20/09 3:11;Product1;1200;Visa;Randy;Wigan;England;United Kingdom;1/20/09 3:02;1/20/09 3:06;535333333;-26166667
1/3/09 10:52;Product1;1200;Visa;Djeiny;Rockville                   ;MD;United States;4/18/05 9:27;1/20/09 6:47;3901806;-7720889
1/20/09 5:24;Product3 ;7500;Mastercard;Amanda;Shreveport                  ;LA;United States;1/20/09 5:13;1/20/09 7:15;32525;-9375
1/20/09 6:03;Product1;1200;Mastercard;Andrea ;Shreveport                  ;LA;United States;1/20/09 5:13;1/20/09 7:15;32525;-9375
1/10/09 11:37;Product1;1200;Amex;Joanna;Little Silver               ;NJ;United States;12/28/08 20:10;1/20/09 7:42;4033667;-740475
1/20/09 5:50;Product1;1200;Visa;Jessica;Abbey Town;England;United Kingdom;1/20/09 4:23;1/20/09 7:46;548333333;-32833333
1/19/09 16:32;Product1;1200;Amex;alison;Mid City West               ;PA;United States;1/19/09 10:24;1/20/09 10:09;3995222;-7516417
1/18/09 10:42;Product1;1200;Visa;malin;Atlanta;Georgia;United States;1/18/09 0:00;1/20/09 11:09;3374889;-8438806
1/7/09 6:11;Product2;3600;Visa;Tiffany ;Paris;Ile-de-France;France;1/7/09 5:30;1/20/09 11:22;488666667;23333333
1/3/09 8:29;Product1;1200;Visa;Genevieve;Milton Keynes;England;United Kingdom;10/10/08 1:26;1/20/09 11:31;520333333;-7
